Student_ID,Student_Name,Roll_No,Year,Division,Stream
BSC064,Student_64_BSCDS,4,TY,A,BSCDS
BSC065,Student_65_BSCDS,5,TY,A,BSCDS
BSC066,Student_66_BSCDS,6,TY,A,BSCDS
BSC067,Student_67_BSCDS,7,TY,A,BSCDS
BSC068,Student_68_BSCDS,8,TY,A,BSCDS
BSC069,Student_69_BSCDS,9,TY,A,BSCDS
BSC070,Student_70_BSCDS,10,TY,A,BSCDS
BSC071,Student_71_BSCDS,1,TY,B,BSCDS
BSC072,Student_72_BSCDS,2,TY,B,BSCDS
BSC073,Student_73_BSCDS,3,TY,B,BSCDS
BSC074,Student_74_BSCDS,4,TY,B,BSCDS
BSC075,Student_75_BSCDS,5,TY,B,BSCDS
BSC076,Student_76_BSCDS,6,TY,B,BSCDS
BSC077,Student_77_BSCDS,7,TY,B,BSCDS
BSC078,Student_78_BSCDS,8,TY,B,BSCDS
BSC079,Student_79_BSCDS,9,TY,B,BSCDS
BSC080,Student_80_BSCDS,10,TY,B,BSCDS
BSC081,Student_81_BSCDS,1,TY,C,BSCDS
BSC082,Student_82_BSCDS,2,TY,C,BSCDS
BSC083,Student_83_BSCDS,3,TY,C,BSCDS
BSC084,Student_84_BSCDS,4,TY,C,BSCDS
BSC085,Student_85_BSCDS,5,TY,C,BSCDS
BSC086,Student_86_BSCDS,6,TY,C,BSCDS
BSC087,Student_87_BSCDS,7,TY,C,BSCDS
BSC088,Student_88_BSCDS,8,TY,C,BSCDS
BSC089,Student_89_BSCDS,9,TY,C,BSCDS
BSC090,Student_90_BSCDS,10,TY,C,BSCDS
BSC001,Student_1_BSCAIML,1,FY,A,BSCAIML
BSC002,Student_2_BSCAIML,2,FY,A,BSCAIML
BSC003,Student_3_BSCAIML,3,FY,A,BSCAIML
BSC004,Student_4_BSCAIML,4,FY,A,BSCAIML
BSC005,Student_5_BSCAIML,5,FY,A,BSCAIML
BSC006,Student_6_BSCAIML,6,FY,A,BSCAIML
BSC007,Student_7_BSCAIML,7,FY,A,BSCAIML
BSC008,Student_8_BSCAIML,8,FY,A,BSCAIML
BSC009,Student_9_BSCAIML,9,FY,A,BSCAIML
BSC010,Student_10_BSCAIML,10,FY,A,BSCAIML
BSC011,Student_11_BSCAIML,1,FY,B,BSCAIML
BSC012,Student_12_BSCAIML,2,FY,B,BSCAIML
BSC013,Student_13_BSCAIML,3,FY,B,BSCAIML
BSC014,Student_14_BSCAIML,4,FY,B,BSCAIML
BSC015,Student_15_BSCAIML,5,FY,B,BSCAIML
BSC016,Student_16_BSCAIML,6,FY,B,BSCAIML
BSC017,Student_17_BSCAIML,7,FY,B,BSCAIML
BSC018,Student_18_BSCAIML,8,FY,B,BSCAIML
BSC019,Student_19_BSCAIML,9,FY,B,BSCAIML
BSC020,Student_20_BSCAIML,10,FY,B,BSCAIML
BSC021,Student_21_BSCAIML,1,FY,C,BSCAIML
BSC022,Student_22_BSCAIML,2,FY,C,BSCAIML
BSC023,Student_23_BSCAIML,3,FY,C,BSCAIML
BSC024,Student_24_BSCAIML,4,FY,C,BSCAIML
BSC025,Student_25_BSCAIML,5,FY,C,BSCAIML
BSC026,Student_26_BSCAIML,6,FY,C,BSCAIML
BSC027,Student_27_BSCAIML,7,FY,C,BSCAIML
BSC028,Student_28_BSCAIML,8,FY,C,BSCAIML
BSC029,Student_29_BSCAIML,9,FY,C,BSCAIML
BSC030,Student_30_BSCAIML,10,FY,C,BSCAIML
BSC031,Student_31_BSCAIML,1,SY,A,BSCAIML
BSC032,Student_32_BSCAIML,2,SY,A,BSCAIML
BSC033,Student_33_BSCAIML,3,SY,A,BSCAIML
BSC034,Student_34_BSCAIML,4,SY,A,BSCAIML
BSC035,Student_35_BSCAIML,5,SY,A,BSCAIML
BSC036,Student_36_BSCAIML,6,SY,A,BSCAIML
BSC037,Student_37_BSCAIML,7,SY,A,BSCAIML
BSC038,Student_38_BSCAIML,8,SY,A,BSCAIML
BSC039,Student_39_BSCAIML,9,SY,A,BSCAIML
BSC040,Student_40_BSCAIML,10,SY,A,BSCAIML
BSC041,Student_41_BSCAIML,1,SY,B,BSCAIML
BSC042,Student_42_BSCAIML,2,SY,B,BSCAIML
BSC043,Student_43_BSCAIML,3,SY,B,BSCAIML
BSC044,Student_44_BSCAIML,4,SY,B,BSCAIML
BSC045,Student_45_BSCAIML,5,SY,B,BSCAIML
BSC046,Student_46_BSCAIML,6,SY,B,BSCAIML
BSC047,Student_47_BSCAIML,7,SY,B,BSCAIML
BSC048,Student_48_BSCAIML,8,SY,B,BSCAIML
BSC049,Student_49_BSCAIML,9,SY,B,BSCAIML
BSC050,Student_50_BSCAIML,10,SY,B,BSCAIML
BSC051,Student_51_BSCAIML,1,SY,C,BSCAIML
BSC052,Student_52_BSCAIML,2,SY,C,BSCAIML
BSC053,Student_53_BSCAIML,3,SY,C,BSCAIML
BSC054,Student_54_BSCAIML,4,SY,C,BSCAIML
BSC055,Student_55_BSCAIML,5,SY,C,BSCAIML
BSC056,Student_56_BSCAIML,6,SY,C,BSCAIML
BSC057,Student_57_BSCAIML,7,SY,C,BSCAIML
BSC058,Student_58_BSCAIML,8,SY,C,BSCAIML
BSC059,Student_59_BSCAIML,9,SY,C,BSCAIML
BSC060,Student_60_BSCAIML,10,SY,C,BSCAIML
BSC061,Student_61_BSCAIML,1,TY,A,BSCAIML
BSC062,Student_62_BSCAIML,2,TY,A,BSCAIML
BSC063,Student_63_BSCAIML,3,TY,A,BSCAIML
BSC064,Student_64_BSCAIML,4,TY,A,BSCAIML
BSC065,Student_65_BSCAIML,5,TY,A,BSCAIML
BSC066,Student_66_BSCAIML,6,TY,A,BSCAIML
BSC067,Student_67_BSCAIML,7,TY,A,BSCAIML
BSC068,Student_68_BSCAIML,8,TY,A,BSCAIML
BSC069,Student_69_BSCAIML,9,TY,A,BSCAIML
BSC070,Student_70_BSCAIML,10,TY,A,BSCAIML
BSC071,Student_71_BSCAIML,1,TY,B,BSCAIML
BSC072,Student_72_BSCAIML,2,TY,B,BSCAIML
BSC073,Student_73_BSCAIML,3,TY,B,BSCAIML
BSC074,Student_74_BSCAIML,4,TY,B,BSCAIML
BSC075,Student_75_BSCAIML,5,TY,B,BSCAIML
BSC076,Student_76_BSCAIML,6,TY,B,BSCAIML
BSC077,Student_77_BSCAIML,7,TY,B,BSCAIML
BSC078,Student_78_BSCAIML,8,TY,B,BSCAIML
BSC079,Student_79_BSCAIML,9,TY,B,BSCAIML
BSC080,Student_80_BSCAIML,10,TY,B,BSCAIML
BSC081,Student_81_BSCAIML,1,TY,C,BSCAIML
BSC082,Student_82_BSCAIML,2,TY,C,BSCAIML
BSC083,Student_83_BSCAIML,3,TY,C,BSCAIML
BSC084,Student_84_BSCAIML,4,TY,C,BSCAIML
BSC085,Student_85_BSCAIML,5,TY,C,BSCAIML
BSC086,Student_86_BSCAIML,6,TY,C,BSCAIML
BSC087,Student_87_BSCAIML,7,TY,C,BSCAIML
BSC088,Student_88_BSCAIML,8,TY,C,BSCAIML
BSC089,Student_89_BSCAIML,9,TY,C,BSCAIML
BSC090,Student_90_BSCAIML,10,TY,C,BSCAIML
BSC001,Student_1_BSCCA,1,FY,A,BSCCA
BSC002,Student_2_BSCCA,2,FY,A,BSCCA
BSC003,Student_3_BSCCA,3,FY,A,BSCCA
BSC004,Student_4_BSCCA,4,FY,A,BSCCA
BSC005,Student_5_BSCCA,5,FY,A,BSCCA
BSC006,Student_6_BSCCA,6,FY,A,BSCCA
BSC007,Student_7_BSCCA,7,FY,A,BSCCA
BSC008,Student_8_BSCCA,8,FY,A,BSCCA
BSC009,Student_9_BSCCA,9,FY,A,BSCCA
BSC010,Student_10_BSCCA,10,FY,A,BSCCA
BSC011,Student_11_BSCCA,1,FY,B,BSCCA
BSC012,Student_12_BSCCA,2,FY,B,BSCCA
BSC013,Student_13_BSCCA,3,FY,B,BSCCA
BSC014,Student_14_BSCCA,4,FY,B,BSCCA
BSC015,Student_15_BSCCA,5,FY,B,BSCCA
BSC016,Student_16_BSCCA,6,FY,B,BSCCA
BSC017,Student_17_BSCCA,7,FY,B,BSCCA
BSC018,Student_18_BSCCA,8,FY,B,BSCCA
BSC019,Student_19_BSCCA,9,FY,B,BSCCA
BSC020,Student_20_BSCCA,10,FY,B,BSCCA
BSC021,Student_21_BSCCA,1,FY,C,BSCCA
BSC022,Student_22_BSCCA,2,FY,C,BSCCA
BSC023,Student_23_BSCCA,3,FY,C,BSCCA
BSC024,Student_24_BSCCA,4,FY,C,BSCCA
BSC025,Student_25_BSCCA,5,FY,C,BSCCA
BSC026,Student_26_BSCCA,6,FY,C,BSCCA
BSC027,Student_27_BSCCA,7,FY,C,BSCCA
BSC028,Student_28_BSCCA,8,FY,C,BSCCA
BSC029,Student_29_BSCCA,9,FY,C,BSCCA
BSC030,Student_30_BSCCA,10,FY,C,BSCCA
BSC031,Student_31_BSCCA,1,SY,A,BSCCA
BSC032,Student_32_BSCCA,2,SY,A,BSCCA
BSC033,Student_33_BSCCA,3,SY,A,BSCCA
BSC034,Student_34_BSCCA,4,SY,A,BSCCA
BSC035,Student_35_BSCCA,5,SY,A,BSCCA
BSC036,Student_36_BSCCA,6,SY,A,BSCCA
BSC037,Student_37_BSCCA,7,SY,A,BSCCA
BSC038,Student_38_BSCCA,8,SY,A,BSCCA
BSC039,Student_39_BSCCA,9,SY,A,BSCCA
BSC040,Student_40_BSCCA,10,SY,A,BSCCA
BSC041,Student_41_BSCCA,1,SY,B,BSCCA
BSC042,Student_42_BSCCA,2,SY,B,BSCCA
BSC043,Student_43_BSCCA,3,SY,B,BSCCA
BSC044,Student_44_BSCCA,4,SY,B,BSCCA
BSC045,Student_45_BSCCA,5,SY,B,BSCCA
BSC046,Student_46_BSCCA,6,SY,B,BSCCA
BSC047,Student_47_BSCCA,7,SY,B,BSCCA
BSC048,Student_48_BSCCA,8,SY,B,BSCCA
BSC049,Student_49_BSCCA,9,SY,B,BSCCA
BSC050,Student_50_BSCCA,10,SY,B,BSCCA
BSC051,Student_51_BSCCA,1,SY,C,BSCCA
BSC052,Student_52_BSCCA,2,SY,C,BSCCA
BSC053,Student_53_BSCCA,3,SY,C,BSCCA
BSC054,Student_54_BSCCA,4,SY,C,BSCCA
BSC055,Student_55_BSCCA,5,SY,C,BSCCA
BSC056,Student_56_BSCCA,6,SY,C,BSCCA
BSC057,Student_57_BSCCA,7,SY,C,BSCCA
BSC058,Student_58_BSCCA,8,SY,C,BSCCA
BSC059,Student_59_BSCCA,9,SY,C,BSCCA
BSC060,Student_60_BSCCA,10,SY,C,BSCCA
BSC061,Student_61_BSCCA,1,TY,A,BSCCA
BSC062,Student_62_BSCCA,2,TY,A,BSCCA
BSC063,Student_63_BSCCA,3,TY,A,BSCCA
BSC064,Student_64_BSCCA,4,TY,A,BSCCA
BSC065,Student_65_BSCCA,5,TY,A,BSCCA
BSC066,Student_66_BSCCA,6,TY,A,BSCCA
BSC067,Student_67_BSCCA,7,TY,A,BSCCA
BSC068,Student_68_BSCCA,8,TY,A,BSCCA
BSC069,Student_69_BSCCA,9,TY,A,BSCCA
BSC070,Student_70_BSCCA,10,TY,A,BSCCA
BSC071,Student_71_BSCCA,1,TY,B,BSCCA
BSC072,Student_72_BSCCA,2,TY,B,BSCCA
BSC073,Student_73_BSCCA,3,TY,B,BSCCA
BSC074,Student_74_BSCCA,4,TY,B,BSCCA
BSC075,Student_75_BSCCA,5,TY,B,BSCCA
BSC076,Student_76_BSCCA,6,TY,B,BSCCA
BSC077,Student_77_BSCCA,7,TY,B,BSCCA
BSC078,Student_78_BSCCA,8,TY,B,BSCCA
BSC079,Student_79_BSCCA,9,TY,B,BSCCA
BSC080,Student_80_BSCCA,10,TY,B,BSCCA
BSC081,Student_81_BSCCA,1,TY,C,BSCCA
BSC082,Student_82_BSCCA,2,TY,C,BSCCA
BSC083,Student_83_BSCCA,3,TY,C,BSCCA
BSC084,Student_84_BSCCA,4,TY,C,BSCCA
BSC085,Student_85_BSCCA,5,TY,C,BSCCA
BSC086,Student_86_BSCCA,6,TY,C,BSCCA
BSC087,Student_87_BSCCA,7,TY,C,BSCCA
BSC088,Student_88_BSCCA,8,TY,C,BSCCA
BSC089,Student_89_BSCCA,9,TY,C,BSCCA
BSC090,Student_90_BSCCA,10,TY,C,BSCCA
